,carat,potongan,warna,kejernihan,kedalaman,lebar,x,y,z,harga
11765,1.1,b'Ideal',b'E',b'SI2',61.6,56.0,6.61,6.64,4.08,76230000
41579,0.44,b'Premium',b'E',b'VS1',60.7,58.0,4.91,4.88,2.97,18570000
14695,1.0,b'Very Good',b'F',b'VS2',62.9,59.0,6.3,6.33,3.97,88935000
43139,0.58,b'Good',b'G',b'SI1',63.8,56.0,5.3,5.33,3.39,20820000
28899,0.3,b'Ideal',b'G',b'VVS2',61.5,57.0,4.29,4.33,2.65,10260000
33655,0.41,b'Very Good',b'E',b'VS1',62.8,60.0,4.72,4.77,2.98,12510000
6574,1.04,b'Ideal',b'H',b'SI2',62.2,56.0,6.51,6.48,4.04,61155000
43138,0.56,b'Ideal',b'H',b'VS2',61.2,57.0,5.29,5.33,3.25,20820000
12869,1.21,b'Very Good',b'G',b'SI2',59.3,59.0,6.97,7.0,4.14,80460000
22256,1.4,b'Ideal',b'G',b'VS2',61.7,56.0,,7.25,4.46,154665000
6698,0.31,b'Good',b'G',b'SI2',63.3,54.0,4.29,4.34,2.73,6120000
4769,1.0,b'Good',b'J',b'SI1',61.7,62.0,6.37,6.4,3.94,55350000
20262,1.01,b'Premium',b'F',b'VVS2',61.8,55.0,6.45,6.36,3.96,130320000
5487,0.9,b'Ideal',b'G',b'SI1',62.6,56.0,6.16,6.23,3.88,57615000
4955,0.9,b'Good',b'G',b'SI1',62.8,59.0,6.08,6.12,3.83,56010000
19153,1.01,b'Good',b'F',b'VVS2',62.7,61.0,6.3,6.34,3.96,118725000
18644,1.51,b'Premium',,b'SI2',62.0,62.0,7.16,7.09,4.42,114150000
5197,0.71,b'Premium',b'E',b'VVS1',62.7,60.0,,5.62,3.56,56685000
44483,0.6,b'Very Good',b'H',b'VS2',64.2,57.0,5.27,5.32,3.4,23955000
1514,0.7,b'Ideal',b'G',b'VS1',60.9,56.0,5.76,5.8,3.52,44925000
30122,0.32,b'Ideal',b'G',b'VS2',62.5,56.0,4.42,4.38,2.75,10800000
7071,0.33,b'Ideal',b'I',b'VVS2',62.4,57.0,4.41,4.44,2.76,8685000
28413,0.29,b'Ideal',b'F',b'VVS1',60.9,57.0,4.29,4.32,2.62,10035000
