,transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
0,7,2019-04-01,2023-09-21 12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N
1,11,2019-04-01,2023-09-21 15:54:39,3,17,781,N,1,1,27,2,7.0,3.5,N
2,19,2019-04-01,2023-09-21 14:34:59,3,17,788,Y,1,1,46,2,5.0,2.5,N
3,32,2019-04-01,2023-09-21 16:06:04,3,12,683,N,1,1,23,2,5.0,2.5,N
4,33,2019-04-01,2023-09-21 19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N
5,39,2019-04-01,2023-09-21 18:54:46,3,17,664,Y,1,1,32,1,3.0,3.0,N
6,50,2019-04-01,2023-09-21 13:03:49,3,12,316,N,1,1,49,2,6.0,3.0,N
7,53,2019-04-01,2023-09-21 11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N
8,59,2019-04-01,2023-09-21 19:30:55,3,12,370,Y,1,1,51,2,6.0,3.0,N
9,62,2019-04-01,2023-09-21 12:01:00,3,12,180,Y,1,1,49,2,6.0,3.0,N
10,81,2019-04-01,2023-09-21 13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N
11,90,2019-04-01,2023-09-21 11:40:20,3,17,595,N,1,1,47,1,3.0,3.0,N
12,91,2019-04-01,2023-09-21 12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N
13,94,2019-04-01,2023-09-21 17:37:02,3,17,128,Y,1,1,23,2,5.0,2.5,N
14,101,2019-04-01,2023-09-21 12:26:34,3,17,599,Y,1,1,48,2,5.0,2.5,N
15,103,2019-04-01,2023-09-21 14:33:32,3,17,152,Y,1,1,53,2,6.0,3.0,N
16,108,2019-04-01,2023-09-21 16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N
17,112,2019-04-01,2023-09-21 13:03:38,3,12,90,Y,1,1,37,2,6.0,3.0,N
18,117,2019-04-01,2023-09-21 18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N
19,120,2019-04-01,2023-09-21 15:51:44,3,12,174,N,1,1,53,2,6.0,3.0,N
20,127,2019-04-01,2023-09-21 13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N
21,134,2019-04-01,2023-09-21 11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N
22,135,2019-04-01,2023-09-21 17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N
23,137,2019-04-01,2023-09-21 11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N
24,138,2019-04-01,2023-09-21 13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N
25,141,2019-04-01,2023-09-21 14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N
26,143,2019-04-01,2023-09-21 13:17:00,3,12,174,Y,1,1,59,2,9.0,4.5,N
27,150,2019-04-01,2023-09-21 12:24:53,3,17,604,Y,1,1,28,1,2.0,2.0,N
28,156,2019-04-01,2023-09-21 12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N
29,156,2019-04-01,2023-09-21 12:30:00,3,17,32,N,1,5,77,1,3.0,3.0,N
30,162,2019-04-01,2023-09-21 19:07:40,3,17,470,N,1,1,55,1,4.0,4.0,N
31,165,2019-04-01,2023-09-21 16:44:46,3,12,127,Y,1,1,54,2,5.0,2.5,N
32,175,2019-04-01,2023-09-21 19:54:12,3,17,553,Y,1,1,47,1,3.0,3.0,N
33,180,2019-04-01,2023-09-21 17:52:36,3,17,518,Y,1,1,45,2,6.0,3.0,N
